External URL, SKU, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=23159660449&a=525247&m=2832", "23159660449", "Havaianas Brasil Flip Flop Navy Blue", "https://www.footasylum.com/images/products/medium/023775.jpg", "9.99", 21.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22154557777&a=525247&m=2832", "22154557777", "The North Face Classic Swim Short Black", "https://www.footasylum.com/images/products/medium/088718.jpg", "19.99", 44.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=23270062423&a=525247&m=2832", "23270062423", "adidas Originals Adilette Slides Sandal White / Adiblue", "https://www.footasylum.com/images/products/medium/090981.jpg", "14.99", 32.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=21799554719&a=525247&m=2832", "21799554719", "Mr Lacy Runnies Laces White", "https://www.footasylum.com/images/products/medium/091128.jpg", "1.49", 2.99, "Men, Accessories", "external"
"https://www.awin1.com/pclick.php?p=3336884605&a=525247&m=2832", "3336884605", "Crib Hat/Bootie Set Red / White / White", "https://www.footasylum.com/images/products/medium/095550.jpg", "4.99", 9.99, "Children, Everything Else", "external"
"https://www.awin1.com/pclick.php?p=23257914953&a=525247&m=2832", "23257914953", "Womens Superstar 80's Metal Toe Trainer Black", "https://www.footasylum.com/images/products/medium/096277.jpg", "44.99", 89.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=23159660471&a=525247&m=2832", "23159660471", "Huarache Utility Trainer White / Black / Emerald Green", "https://www.footasylum.com/images/products/medium/096907.jpg", "39.99", 104.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3726974183&a=525247&m=2832", "3726974183", "adidas Originals Superstar Track Top Legend Ink", "https://www.footasylum.com/images/products/medium/097423.jpg", "14.99", 49.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=3525367915&a=525247&m=2832", "3525367915", "Womens Popcat Slide Sandal White", "https://www.footasylum.com/images/products/medium/097708.jpg", "9.99", 19.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=22863103019&a=525247&m=2832", "22863103019", "Glorious Gangsta London Trainer Black", "https://www.footasylum.com/images/products/medium/099445.jpg", "24.99", 59.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22628116975&a=525247&m=2832", "22628116975", "Condemned Nation Belthorn Jacket Khaki / Black", "https://www.footasylum.com/images/products/medium/103560.jpg", "19.99", 59.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=3729216755&a=525247&m=2832", "3729216755", "Antony Morato Hooded Puffer Jacket Hazlenut", "https://www.footasylum.com/images/products/medium/103709.jpg", "34.99", 149.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=23159660523&a=525247&m=2832", "23159660523", "Antony Morato Zip Detail Long Sleeve Shirt Black", "https://www.footasylum.com/images/products/medium/103723.jpg", "19.99", 59.99, "Men, Clothing", "external"
"https://www.awin1.com/pclick.php?p=22557379335&a=525247&m=2832", "22557379335", "Timberland Womens Flannery 6 Inch Boot Black", "https://www.footasylum.com/images/products/medium/103883.jpg", "49.99", 99.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=3583199711&a=525247&m=2832", "3583199711", "Cortica Infinity 2.0 Knit Trainer Grey / White", "https://www.footasylum.com/images/products/medium/103913.jpg", "29.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=22863103025&a=525247&m=2832", "22863103025", "Cortica Infinity 2.0 Knit Trainer Stone / White", "https://www.footasylum.com/images/products/medium/103914.jpg", "29.99", 84.99, "Men, Shoes", "external"
"https://www.awin1.com/pclick.php?p=3628273815&a=525247&m=2832", "3628273815", "Cortica Womens Infinity 2.0 Fleece Trainer Grey Marl", "https://www.footasylum.com/images/products/medium/103941.jpg", "29.99", 79.99, "Ladies, Shoes and Bags", "external"
"https://www.awin1.com/pclick.php?p=3628273819&a=525247&m=2832", "3628273819", "Cortica Womens Infinity 2.0 Knit Trainer Grey / White", "https://www.footasylum.com/images/products/medium/103944.jpg", "24.99", 74.99, "Ladies, Shoes and Bags", "external"
